video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_left_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_left_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,2.0000,1.0000,719.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,717.0000,719.0000,0.0000,2.0000,1.0000,0.0000
1m_left_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_left_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_left_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1128.0000,720.0000,846.0000,720.0000,1280.0000,1.0000,1280.0000,152.0000,434.0000,719.0000,719.0000,282.0000,0.0000,0.0000,282.0000
1m_left_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1132.0000,720.0000,848.0000,720.0000,1280.0000,1.0000,1280.0000,148.0000,432.0000,719.0000,719.0000,284.0000,0.0000,0.0000,284.0000
1m_left_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,809.0000,720.0000,833.0000,720.0000,1280.0000,1.0000,1280.0000,471.0000,447.0000,719.0000,719.0000,24.0000,0.0000,0.0000,24.0000
1m_left_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,807.0000,720.0000,832.0000,720.0000,1280.0000,1.0000,1280.0000,473.0000,448.0000,719.0000,719.0000,25.0000,0.0000,0.0000,25.0000
1m_left_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,738.0000,720.0000,732.0000,720.0000,1280.0000,1.0000,1280.0000,542.0000,548.0000,719.0000,719.0000,6.0000,0.0000,0.0000,6.0000
1m_mid_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,762.0000,720.0000,766.0000,720.0000,1280.0000,1.0000,1280.0000,518.0000,514.0000,719.0000,719.0000,4.0000,0.0000,0.0000,4.0000
1m_mid_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,86.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,634.0000,719.0000,0.0000,85.0000,85.0000,0.0000
1m_mid_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,223.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1057.0000,1279.0000,719.0000,719.0000,222.0000,0.0000,0.0000,222.0000
1m_mid_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,69.0000,1.0000,720.0000,165.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1115.0000,651.0000,719.0000,164.0000,68.0000,68.0000,164.0000
1m_mid_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,703.0000,712.0000,742.0000,720.0000,1280.0000,1.0000,1280.0000,577.0000,538.0000,711.0000,719.0000,39.0000,8.0000,0.0000,39.0000
1m_mid_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,744.0000,720.0000,771.0000,720.0000,1280.0000,1.0000,1280.0000,536.0000,509.0000,719.0000,719.0000,27.0000,0.0000,0.0000,27.0000
1m_mid_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,744.0000,720.0000,772.0000,720.0000,1280.0000,1.0000,1280.0000,536.0000,508.0000,719.0000,719.0000,28.0000,0.0000,0.0000,28.0000
1m_mid_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,880.0000,720.0000,870.0000,720.0000,1280.0000,1.0000,1280.0000,400.0000,410.0000,719.0000,719.0000,10.0000,0.0000,0.0000,10.0000
1m_mid_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,617.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,616.0000,719.0000,0.0000,103.0000,0.0000,0.0000
1m_mid_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,89.0000,307.0000,486.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,973.0000,1279.0000,397.0000,719.0000,306.0000,322.0000,88.0000,306.0000
1m_right_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,17.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1263.0000,1279.0000,719.0000,719.0000,16.0000,0.0000,0.0000,16.0000
1m_right_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_right_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_right_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_right_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
1m_right_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,854.0000,720.0000,1062.0000,720.0000,1280.0000,1.0000,1280.0000,426.0000,218.0000,719.0000,719.0000,208.0000,0.0000,0.0000,208.0000
1m_right_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,856.0000,720.0000,1065.0000,720.0000,1280.0000,1.0000,1280.0000,424.0000,215.0000,719.0000,719.0000,209.0000,0.0000,0.0000,209.0000
1m_right_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,853.0000,720.0000,1062.0000,720.0000,1280.0000,1.0000,1280.0000,427.0000,218.0000,719.0000,719.0000,209.0000,0.0000,0.0000,209.0000
1m_right_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,854.0000,720.0000,1062.0000,720.0000,1280.0000,1.0000,1280.0000,426.0000,218.0000,719.0000,719.0000,208.0000,0.0000,0.0000,208.0000
1m_right_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,855.0000,720.0000,1066.0000,720.0000,1280.0000,1.0000,1280.0000,425.0000,214.0000,719.0000,719.0000,211.0000,0.0000,0.0000,211.0000
3m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,719.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,718.0000,719.0000,0.0000,1.0000,0.0000,0.0000
3m_left_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
3m_left_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,1.0000,1.0000,720.0000,1.0000,720.0000,1280.0000,1.0000,1280.0000,1279.0000,1279.0000,719.0000,719.0000,0.0000,0.0000,0.0000,0.0000
