video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,482.0000,373.0000,487.0000,582.0000,192.0000,588.0000,270.0000,209.0000,302.0000,295.0000,61.0000,7.0000,12.0000,55.0000
1m_left_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,183.0000,316.0000,482.0000,375.0000,509.0000,589.0000,154.0000,599.0000,283.0000,214.0000,299.0000,355.0000,69.0000,56.0000,29.0000,59.0000
1m_left_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,482.0000,375.0000,488.0000,583.0000,192.0000,590.0000,270.0000,208.0000,302.0000,296.0000,62.0000,6.0000,12.0000,55.0000
1m_left_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,468.0000,373.0000,487.0000,584.0000,192.0000,591.0000,271.0000,211.0000,288.0000,295.0000,60.0000,7.0000,12.0000,53.0000
1m_left_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,321.0000,482.0000,376.0000,487.0000,584.0000,192.0000,592.0000,271.0000,208.0000,302.0000,295.0000,63.0000,7.0000,12.0000,55.0000
1m_left_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,316.0000,481.0000,371.0000,487.0000,580.0000,193.0000,588.0000,272.0000,209.0000,301.0000,294.0000,63.0000,7.0000,13.0000,55.0000
1m_left_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,482.0000,375.0000,488.0000,583.0000,193.0000,591.0000,272.0000,208.0000,302.0000,295.0000,64.0000,7.0000,13.0000,56.0000
1m_left_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,482.0000,374.0000,487.0000,582.0000,193.0000,590.0000,271.0000,208.0000,302.0000,294.0000,63.0000,8.0000,13.0000,55.0000
1m_left_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,481.0000,373.0000,488.0000,581.0000,193.0000,589.0000,271.0000,208.0000,301.0000,295.0000,63.0000,6.0000,13.0000,55.0000
1m_left_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,482.0000,374.0000,487.0000,581.0000,193.0000,589.0000,270.0000,207.0000,302.0000,294.0000,63.0000,8.0000,13.0000,55.0000
