video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,243.0000,404.0000,271.0000,393.0000,278.0000,539.0000,247.0000,516.0000,112.0000,146.0000,28.0000,31.0000,34.0000,3.0000,4.0000,11.0000
1m_left_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,198.0000,577.0000,484.0000,584.0000,484.0000,584.0000,193.0000,591.0000,14.0000,0.0000,286.0000,291.0000,14.0000,5.0000,5.0000,7.0000
1m_left_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,269.0000,521.0000,272.0000,521.0000,285.0000,567.0000,233.0000,575.0000,54.0000,46.0000,3.0000,52.0000,8.0000,49.0000,36.0000,0.0000
1m_left_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,321.0000,422.0000,440.0000,442.0000,585.0000,192.0000,590.0000,269.0000,145.0000,242.0000,250.0000,124.0000,8.0000,12.0000,119.0000
1m_left_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,482.0000,376.0000,488.0000,584.0000,192.0000,592.0000,272.0000,208.0000,302.0000,296.0000,64.0000,6.0000,12.0000,56.0000
1m_left_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,248.0000,410.0000,273.0000,406.0000,282.0000,482.0000,276.0000,487.0000,77.0000,76.0000,25.0000,6.0000,1.0000,19.0000,28.0000,4.0000
1m_left_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,482.0000,375.0000,488.0000,583.0000,193.0000,591.0000,272.0000,208.0000,302.0000,295.0000,64.0000,7.0000,13.0000,56.0000
1m_left_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,482.0000,374.0000,488.0000,582.0000,192.0000,589.0000,270.0000,208.0000,302.0000,296.0000,62.0000,6.0000,12.0000,55.0000
1m_left_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,481.0000,373.0000,488.0000,581.0000,192.0000,588.0000,270.0000,208.0000,301.0000,296.0000,62.0000,5.0000,12.0000,55.0000
1m_left_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,482.0000,374.0000,487.0000,581.0000,193.0000,589.0000,271.0000,207.0000,302.0000,294.0000,64.0000,8.0000,13.0000,56.0000
1m_mid_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,349.0000,572.0000,346.0000,570.0000,589.0000,146.0000,590.0000,241.0000,243.0000,429.0000,424.0000,2.0000,5.0000,3.0000,3.0000
1m_mid_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,146.0000,346.0000,572.0000,348.0000,570.0000,592.0000,146.0000,593.0000,247.0000,244.0000,426.0000,424.0000,3.0000,2.0000,0.0000,2.0000
1m_mid_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,385.0000,439.0000,503.0000,465.0000,462.0000,551.0000,371.0000,518.0000,79.0000,86.0000,118.0000,91.0000,7.0000,27.0000,14.0000,26.0000
1m_mid_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,218.0000,439.0000,357.0000,425.0000,350.0000,471.0000,219.0000,464.0000,25.0000,46.0000,139.0000,131.0000,21.0000,8.0000,1.0000,14.0000
1m_mid_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,142.0000,351.0000,572.0000,348.0000,570.0000,592.0000,146.0000,593.0000,242.0000,244.0000,430.0000,424.0000,2.0000,6.0000,4.0000,3.0000
1m_mid_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,225.0000,489.0000,244.0000,495.0000,251.0000,533.0000,219.0000,520.0000,31.0000,38.0000,19.0000,32.0000,7.0000,13.0000,6.0000,6.0000
1m_mid_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,232.0000,509.0000,257.0000,502.0000,237.0000,554.0000,226.0000,548.0000,39.0000,52.0000,25.0000,11.0000,13.0000,14.0000,6.0000,7.0000
1m_mid_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,345.0000,572.0000,342.0000,570.0000,587.0000,146.0000,588.0000,243.0000,245.0000,429.0000,424.0000,2.0000,5.0000,3.0000,3.0000
1m_mid_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,347.0000,572.0000,344.0000,570.0000,587.0000,146.0000,588.0000,241.0000,243.0000,429.0000,424.0000,2.0000,5.0000,3.0000,3.0000
1m_mid_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,347.0000,572.0000,345.0000,570.0000,588.0000,146.0000,589.0000,242.0000,243.0000,429.0000,424.0000,1.0000,5.0000,3.0000,2.0000
1m_right_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,198.0000,371.0000,503.0000,324.0000,494.0000,591.0000,192.0000,583.0000,212.0000,267.0000,305.0000,302.0000,55.0000,3.0000,6.0000,47.0000
1m_right_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,198.0000,374.0000,504.0000,327.0000,493.0000,594.0000,193.0000,586.0000,212.0000,267.0000,306.0000,300.0000,55.0000,6.0000,5.0000,47.0000
1m_right_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,196.0000,376.0000,504.0000,325.0000,494.0000,591.0000,193.0000,584.0000,208.0000,266.0000,308.0000,301.0000,58.0000,7.0000,3.0000,51.0000
1m_right_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,446.0000,486.0000,462.0000,485.0000,472.0000,533.0000,468.0000,533.0000,47.0000,48.0000,16.0000,4.0000,1.0000,12.0000,22.0000,1.0000
1m_right_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,461.0000,563.0000,465.0000,563.0000,476.0000,588.0000,455.0000,582.0000,19.0000,25.0000,4.0000,21.0000,6.0000,17.0000,6.0000,0.0000
1m_right_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,196.0000,376.0000,503.0000,325.0000,493.0000,590.0000,193.0000,583.0000,207.0000,265.0000,307.0000,300.0000,58.0000,7.0000,3.0000,51.0000
1m_right_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,196.0000,377.0000,503.0000,326.0000,494.0000,592.0000,193.0000,585.0000,208.0000,266.0000,307.0000,301.0000,58.0000,6.0000,3.0000,51.0000
1m_right_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,196.0000,375.0000,503.0000,324.0000,493.0000,590.0000,193.0000,583.0000,208.0000,266.0000,307.0000,300.0000,58.0000,7.0000,3.0000,51.0000
1m_right_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,371.0000,355.0000,479.0000,329.0000,487.0000,590.0000,290.0000,585.0000,230.0000,261.0000,108.0000,197.0000,31.0000,89.0000,81.0000,26.0000
1m_right_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,196.0000,379.0000,503.0000,328.0000,493.0000,593.0000,193.0000,586.0000,207.0000,265.0000,307.0000,300.0000,58.0000,7.0000,3.0000,51.0000
3m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,257.0000,526.0000,450.0000,527.0000,450.0000,637.0000,261.0000,641.0000,115.0000,110.0000,193.0000,189.0000,5.0000,4.0000,4.0000,1.0000
