video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,435.0000,365.0000,486.0000,581.0000,193.0000,589.0000,271.0000,216.0000,255.0000,293.0000,55.0000,38.0000,13.0000,47.0000
1m_left_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,459.0000,371.0000,487.0000,584.0000,192.0000,591.0000,271.0000,213.0000,279.0000,295.0000,58.0000,16.0000,12.0000,51.0000
1m_left_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,408.0000,362.0000,487.0000,583.0000,192.0000,590.0000,270.0000,221.0000,228.0000,295.0000,49.0000,67.0000,12.0000,42.0000
1m_left_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,321.0000,427.0000,366.0000,480.0000,583.0000,192.0000,590.0000,269.0000,217.0000,247.0000,288.0000,52.0000,41.0000,12.0000,45.0000
1m_left_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,321.0000,427.0000,366.0000,487.0000,584.0000,192.0000,591.0000,270.0000,218.0000,247.0000,295.0000,52.0000,48.0000,12.0000,45.0000
1m_left_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,316.0000,482.0000,372.0000,487.0000,580.0000,193.0000,587.0000,271.0000,208.0000,302.0000,294.0000,63.0000,8.0000,13.0000,56.0000
1m_left_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,482.0000,375.0000,487.0000,583.0000,193.0000,591.0000,272.0000,208.0000,302.0000,294.0000,64.0000,8.0000,13.0000,56.0000
1m_left_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,464.0000,371.0000,487.0000,582.0000,193.0000,590.0000,271.0000,211.0000,284.0000,294.0000,60.0000,10.0000,13.0000,52.0000
1m_left_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,466.0000,372.0000,487.0000,581.0000,193.0000,589.0000,271.0000,209.0000,286.0000,294.0000,62.0000,8.0000,13.0000,54.0000
1m_left_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,459.0000,370.0000,484.0000,580.0000,193.0000,589.0000,270.0000,210.0000,279.0000,291.0000,60.0000,12.0000,13.0000,51.0000
