video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1m_left_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,318.0000,421.0000,389.0000,486.0000,580.0000,193.0000,589.0000,271.0000,191.0000,241.0000,293.0000,80.0000,52.0000,13.0000,71.0000
1m_left_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,431.0000,366.0000,487.0000,584.0000,192.0000,591.0000,271.0000,218.0000,251.0000,295.0000,53.0000,44.0000,12.0000,46.0000
1m_left_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,195.0000,323.0000,412.0000,370.0000,487.0000,583.0000,192.0000,590.0000,267.0000,213.0000,217.0000,295.0000,54.0000,78.0000,3.0000,47.0000
1m_left_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,321.0000,412.0000,377.0000,444.0000,585.0000,192.0000,590.0000,269.0000,208.0000,232.0000,252.0000,61.0000,20.0000,12.0000,56.0000
1m_left_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,322.0000,390.0000,379.0000,487.0000,584.0000,192.0000,591.0000,269.0000,205.0000,210.0000,295.0000,64.0000,85.0000,12.0000,57.0000
1m_left_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,316.0000,482.0000,372.0000,486.0000,579.0000,193.0000,587.0000,271.0000,207.0000,302.0000,293.0000,64.0000,9.0000,13.0000,56.0000
1m_left_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,431.0000,366.0000,487.0000,583.0000,193.0000,591.0000,271.0000,217.0000,251.0000,294.0000,54.0000,43.0000,13.0000,46.0000
1m_left_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,320.0000,412.0000,368.0000,487.0000,582.0000,193.0000,590.0000,270.0000,214.0000,232.0000,294.0000,56.0000,62.0000,13.0000,48.0000
1m_left_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,440.0000,367.0000,441.0000,583.0000,193.0000,589.0000,270.0000,216.0000,260.0000,248.0000,54.0000,12.0000,13.0000,48.0000
1m_left_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,180.0000,319.0000,481.0000,415.0000,478.0000,580.0000,193.0000,588.0000,269.0000,165.0000,301.0000,285.0000,104.0000,16.0000,13.0000,96.0000
1m_mid_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,150.0000,349.0000,572.0000,347.0000,569.0000,589.0000,147.0000,590.0000,241.0000,242.0000,422.0000,422.0000,1.0000,0.0000,3.0000,2.0000
1m_mid_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,156.0000,351.0000,572.0000,349.0000,570.0000,591.0000,147.0000,593.0000,242.0000,242.0000,416.0000,423.0000,0.0000,7.0000,9.0000,2.0000
1m_mid_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,350.0000,572.0000,348.0000,570.0000,591.0000,146.0000,592.0000,242.0000,243.0000,429.0000,424.0000,1.0000,5.0000,3.0000,2.0000
1m_mid_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,350.0000,544.0000,348.0000,570.0000,590.0000,146.0000,591.0000,241.0000,242.0000,401.0000,424.0000,1.0000,23.0000,3.0000,2.0000
1m_mid_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,352.0000,572.0000,349.0000,563.0000,591.0000,147.0000,593.0000,241.0000,242.0000,429.0000,416.0000,1.0000,13.0000,4.0000,3.0000
1m_mid_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,345.0000,572.0000,342.0000,569.0000,585.0000,147.0000,587.0000,242.0000,243.0000,429.0000,422.0000,1.0000,7.0000,4.0000,3.0000
1m_mid_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,346.0000,572.0000,344.0000,570.0000,586.0000,147.0000,588.0000,242.0000,242.0000,429.0000,423.0000,0.0000,6.0000,4.0000,2.0000
1m_mid_lightsON_video3.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,345.0000,572.0000,343.0000,569.0000,587.0000,147.0000,588.0000,243.0000,244.0000,429.0000,422.0000,1.0000,7.0000,4.0000,2.0000
1m_mid_lightsON_video4.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,348.0000,572.0000,345.0000,569.0000,587.0000,147.0000,588.0000,240.0000,242.0000,429.0000,422.0000,2.0000,7.0000,4.0000,3.0000
1m_mid_lightsON_video5.mp4,NaN,NaN,NaN,NaN,NaN,143.0000,348.0000,572.0000,345.0000,569.0000,588.0000,147.0000,589.0000,241.0000,243.0000,429.0000,422.0000,2.0000,7.0000,4.0000,3.0000
1m_right_lightsOFF_video1.mp4,NaN,NaN,NaN,NaN,NaN,239.0000,389.0000,503.0000,325.0000,494.0000,590.0000,205.0000,566.0000,177.0000,265.0000,264.0000,289.0000,88.0000,25.0000,34.0000,64.0000
1m_right_lightsOFF_video2.mp4,NaN,NaN,NaN,NaN,NaN,253.0000,369.0000,503.0000,327.0000,494.0000,593.0000,193.0000,586.0000,217.0000,266.0000,250.0000,301.0000,49.0000,51.0000,60.0000,42.0000
1m_right_lightsOFF_video3.mp4,NaN,NaN,NaN,NaN,NaN,235.0000,395.0000,503.0000,325.0000,494.0000,590.0000,227.0000,585.0000,190.0000,265.0000,268.0000,267.0000,75.0000,1.0000,8.0000,70.0000
1m_right_lightsOFF_video4.mp4,NaN,NaN,NaN,NaN,NaN,247.0000,425.0000,485.0000,344.0000,494.0000,591.0000,200.0000,584.0000,159.0000,247.0000,238.0000,294.0000,88.0000,56.0000,47.0000,81.0000
1m_right_lightsOFF_video5.mp4,NaN,NaN,NaN,NaN,NaN,251.0000,393.0000,503.0000,325.0000,494.0000,591.0000,193.0000,584.0000,191.0000,266.0000,252.0000,301.0000,75.0000,49.0000,58.0000,68.0000
1m_right_lightsON_video1.mp4,NaN,NaN,NaN,NaN,NaN,203.0000,389.0000,503.0000,325.0000,493.0000,590.0000,193.0000,583.0000,194.0000,265.0000,300.0000,300.0000,71.0000,0.0000,10.0000,64.0000
1m_right_lightsON_video2.mp4,NaN,NaN,NaN,NaN,NaN,235.0000,371.0000,503.0000,326.0000,494.0000,592.0000,193.0000,585.0000,214.0000,266.0000,268.0000,301.0000,52.0000,33.0000,42.0000,45.0000
