video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1.60-1-f5_dark.mp4,1.5960,0.6300,-0.13185,1.72090,5,951.0000,220.0000,1086.0000,220.0000,1084.0000,354.0000,949.0000,353.0000,133.0000,134.0000,135.0000,135.0000,1.0000,0.0000,2.0000,0.0000
1.60-2-f5_dark.mp4,1.5960,0.3150,-0.13185,1.63212,5,761.0000,223.0000,894.0000,223.0000,892.0000,355.0000,760.0000,354.0000,131.0000,132.0000,133.0000,132.0000,1.0000,1.0000,1.0000,0.0000
1.60-3-f5_dark.mp4,1.5960,0.0000,-0.13185,1.60144,5,592.0000,208.0000,724.0000,208.0000,722.0000,340.0000,592.0000,339.0000,131.0000,132.0000,132.0000,130.0000,1.0000,2.0000,0.0000,0.0000
1.60-4-f5_dark.mp4,1.5960,-0.3150,-0.13185,1.63212,5,416.0000,214.0000,549.0000,215.0000,549.0000,346.0000,417.0000,346.0000,132.0000,131.0000,133.0000,132.0000,1.0000,1.0000,1.0000,1.0000
1.60-5-f5_dark.mp4,1.5960,-0.6300,-0.13185,1.72090,5,266.0000,225.0000,398.0000,226.0000,398.0000,357.0000,266.0000,356.0000,131.0000,131.0000,132.0000,132.0000,0.0000,0.0000,0.0000,1.0000
1.90-1-f5_dark.mp4,1.8960,0.6300,-0.13185,2.00227,5,890.0000,242.0000,1003.0000,242.0000,1001.0000,353.0000,889.0000,353.0000,111.0000,111.0000,113.0000,112.0000,0.0000,1.0000,1.0000,0.0000
1.90-2-f5_dark.mp4,1.8960,0.3150,-0.13185,1.92651,5,745.0000,226.0000,857.0000,226.0000,854.0000,337.0000,744.0000,337.0000,111.0000,111.0000,112.0000,110.0000,0.0000,2.0000,1.0000,0.0000
1.90-3-f5_dark.mp4,1.8960,0.0000,-0.13185,1.90058,5,605.0000,234.0000,715.0000,234.0000,714.0000,345.0000,605.0000,345.0000,111.0000,111.0000,110.0000,109.0000,0.0000,1.0000,0.0000,0.0000
1.90-4-f5_dark.mp4,1.8960,-0.3150,-0.13185,1.92651,5,455.0000,251.0000,566.0000,251.0000,566.0000,361.0000,455.0000,360.0000,109.0000,110.0000,111.0000,111.0000,1.0000,0.0000,0.0000,0.0000
1.90-5-f5_dark.mp4,1.8960,-0.6300,-0.13185,2.00227,5,314.0000,235.0000,426.0000,237.0000,427.0000,347.0000,315.0000,347.0000,112.0000,110.0000,112.0000,112.0000,2.0000,0.0000,1.0000,2.0000
2.20-1-f5_dark.mp4,2.1960,0.6300,-0.13185,2.28838,5,870.0000,264.0000,968.0000,264.0000,967.0000,360.0000,869.0000,360.0000,96.0000,96.0000,98.0000,98.0000,0.0000,0.0000,1.0000,0.0000
2.20-2-f5_dark.mp4,2.1960,0.3150,-0.13185,2.22239,5,726.0000,261.0000,822.0000,261.0000,820.0000,356.0000,726.0000,355.0000,94.0000,95.0000,96.0000,94.0000,1.0000,2.0000,0.0000,0.0000
2.20-3-f5_dark.mp4,2.1960,0.0000,-0.13185,2.19995,5,626.0000,268.0000,720.0000,268.0000,719.0000,363.0000,625.0000,362.0000,94.0000,95.0000,94.0000,94.0000,1.0000,0.0000,1.0000,0.0000
2.20-4-f5_dark.mp4,2.1960,-0.3150,-0.13185,2.22239,5,487.0000,259.0000,582.0000,259.0000,582.0000,354.0000,488.0000,354.0000,95.0000,95.0000,95.0000,94.0000,0.0000,1.0000,1.0000,0.0000
2.20-5-f5_dark.mp4,2.1960,-0.6300,-0.13185,2.28838,5,355.0000,258.0000,451.0000,259.0000,452.0000,354.0000,355.0000,354.0000,96.0000,95.0000,96.0000,97.0000,1.0000,1.0000,0.0000,1.0000
2.50-1-f5_dark.mp4,2.4960,0.6300,-0.13185,2.57765,5,828.0000,280.0000,912.0000,279.0000,911.0000,363.0000,827.0000,361.0000,81.0000,84.0000,84.0000,84.0000,3.0000,0.0000,1.0000,1.0000
2.50-2-f5_dark.mp4,2.4960,0.3150,-0.13185,2.51925,5,731.0000,271.0000,815.0000,271.0000,814.0000,354.0000,730.0000,353.0000,82.0000,83.0000,84.0000,84.0000,1.0000,0.0000,1.0000,0.0000
2.50-3-f5_dark.mp4,2.4960,0.0000,-0.13185,2.49948,5,621.0000,249.0000,704.0000,249.0000,703.0000,333.0000,621.0000,332.0000,83.0000,84.0000,83.0000,82.0000,1.0000,1.0000,0.0000,0.0000
2.50-4-f5_dark.mp4,2.4960,-0.3150,-0.13185,2.51925,5,497.0000,278.0000,580.0000,278.0000,580.0000,361.0000,497.0000,361.0000,83.0000,83.0000,83.0000,83.0000,0.0000,0.0000,0.0000,0.0000
2.50-5-f5_dark.mp4,2.4960,-0.6300,-0.13185,2.57765,5,397.0000,274.0000,481.0000,275.0000,481.0000,358.0000,397.0000,358.0000,84.0000,83.0000,84.0000,84.0000,1.0000,0.0000,0.0000,1.0000
