video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1y_1x_0z_f5.mp4,0.7500,0.3500,-0.11400,0.83546,5,948.1916,94.8414,1232.1414,97.3412,1227.2425,378.0662,943.9195,373.1766,278.3352,280.7250,283.9498,283.3230,2.3898,0.6268,4.2721,2.4998
1y_1x_0z_f5_dark.mp4,0.7500,0.3500,-0.11400,0.83546,5,937.5496,86.2875,1238.2130,85.7575,1234.5756,382.2466,936.8285,378.4145,292.1271,296.4892,300.6633,297.7471,4.3621,2.9162,0.7211,0.5300
1y_1x_1z_f5_dark.mp4,0.7500,0.3500,0.12600,0.83718,5,944.2712,392.8507,1242.1965,393.9007,1239.7746,689.1326,944.1299,682.4887,289.6380,295.2320,297.9252,295.6447,5.5940,2.2805,0.1414,1.0500
1y_2x_0z_f5_dark.mp4,0.7500,0.1750,-0.11400,0.77854,5,721.9970,88.3697,1017.9991,85.8031,1014.0751,380.0954,719.5441,376.3965,288.0268,294.2923,296.0021,294.5309,6.2655,1.4711,2.4529,2.5666
1y_3x_0z_f5.mp4,0.7500,0.0000,-0.11400,0.75861,5,517.9657,102.0074,795.1791,93.7726,791.0371,373.3778,518.0378,370.1038,268.0965,279.6052,277.2134,272.9993,11.5088,4.2141,0.0721,8.2348
1y_3x_0z_f5_dark.mp4,0.7500,0.0000,-0.11400,0.75861,5,512.9667,90.5115,802.0329,88.8183,798.4924,379.0806,513.0830,376.4187,285.9072,290.2623,289.0662,285.4094,4.3550,3.6568,0.1163,1.6931
1y_3x_1z_f5_dark.mp4,0.7500,0.0000,0.12600,0.76051,5,477.3773,389.9672,764.0000,390.0827,764.0000,679.5646,475.7047,671.0742,281.1070,289.4819,286.6227,288.2953,8.3749,1.6726,1.6726,0.1155
1y_4x_0z_f5_dark.mp4,0.7500,-0.1750,-0.11400,0.77854,5,305.1543,89.0000,581.9801,89.0000,582.0080,378.2310,283.2984,376.1587,287.1587,289.2310,276.8258,298.7096,2.0723,21.8838,21.8559,0.0000
1y_4x_0z_f5_dark_v1.mp4,0.7500,-0.1750,-0.11400,0.77854,5,318.9039,60.7545,582.0000,61.6582,582.0000,355.1862,303.4450,353.5750,292.8205,293.5280,263.0961,278.5550,0.7075,15.4589,15.4589,0.9036
1y_4x_0z_f5_dark_v2.mp4,0.7500,-0.1750,-0.11400,0.77854,5,311.5731,60.7353,582.0000,61.6338,582.0000,355.1859,304.0153,353.6026,292.8673,293.5521,270.4269,277.9847,0.6848,7.5579,7.5579,0.8985
1y_4x_0z_f5_dark_v3.mp4,0.7500,-0.1750,-0.11400,0.77854,5,330.5676,60.7866,582.0000,61.7184,582.0000,355.1854,294.9219,353.5758,292.7892,293.4671,251.4324,287.0781,0.6779,35.6457,35.6457,0.9317
1y_5x_0z_f5.mp4,0.7500,-0.3500,-0.11400,0.83546,5,122.4187,94.9781,375.1457,95.0258,373.7813,371.0454,97.5210,353.6310,258.6529,276.0196,252.7270,276.2603,17.3667,23.5334,24.8977,0.0477
1y_5x_0z_f5_dark.mp4,0.7500,-0.3500,-0.11400,0.83546,5,85.9188,86.0000,362.1254,86.0000,361.2642,376.1527,69.6183,372.7594,286.7594,290.1527,276.2066,291.6459,3.3933,15.4393,16.3005,0.0000
1y_5x_0z_f5_dark_v1.mp4,0.7500,-0.3500,-0.11400,0.83546,5,81.3945,55.5891,353.3804,57.6019,355.5378,354.1492,36.6762,334.7363,279.1472,296.5474,271.9859,318.8616,17.4002,46.8756,44.7183,2.0128
