video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1y_1x_0z_f5_dark.mp4,0.7500,0.3500,-0.11400,0.83546,5,939.0000,87.0000,1238.0000,86.0000,1235.0000,382.0000,936.0000,378.0000,291.0000,296.0000,299.0000,299.0000,5.0000,0.0000,3.0000,1.0000
1y_2x_0z_f5_dark.mp4,0.7500,0.1750,-0.11400,0.77854,5,722.0000,89.0000,1018.0000,86.0000,1014.0000,380.0000,720.0000,377.0000,288.0000,294.0000,296.0000,294.0000,6.0000,2.0000,2.0000,3.0000
1y_3x_0z_f5_dark.mp4,0.7500,0.0000,-0.11400,0.75861,5,512.0000,91.0000,802.0000,88.0000,799.0000,379.0000,513.0000,376.0000,285.0000,291.0000,290.0000,286.0000,6.0000,4.0000,1.0000,3.0000
1y_4x_0z_f5_dark.mp4,0.7500,-0.1750,-0.11400,0.77854,5,293.0000,89.0000,582.0000,89.0000,582.0000,378.0000,294.0000,376.0000,287.0000,289.0000,289.0000,288.0000,2.0000,1.0000,1.0000,0.0000
1y_5x_0z_f5_dark.mp4,0.7500,-0.3500,-0.11400,0.83546,5,75.0000,85.0000,362.0000,86.0000,361.0000,376.0000,74.0000,373.0000,288.0000,290.0000,287.0000,287.0000,2.0000,0.0000,1.0000,1.0000
2y_1x_0z_f5_dark.mp4,1.0000,0.3500,-0.11400,1.06560,5,874.0000,158.0000,1099.0000,156.0000,1096.0000,378.0000,870.0000,376.0000,218.0000,222.0000,225.0000,226.0000,4.0000,1.0000,4.0000,2.0000
2y_2x_0z_f5_dark.mp4,1.0000,0.1750,-0.11400,1.02158,5,707.0000,158.0000,928.0000,157.0000,925.0000,377.0000,704.0000,375.0000,217.0000,220.0000,221.0000,221.0000,3.0000,0.0000,3.0000,1.0000
2y_3x_0z_f5_dark.mp4,1.0000,0.0000,-0.11400,1.00648,5,538.0000,157.0000,755.0000,158.0000,754.0000,375.0000,539.0000,373.0000,216.0000,217.0000,217.0000,215.0000,1.0000,2.0000,1.0000,1.0000
2y_4x_0z_f5_dark.mp4,1.0000,-0.1750,-0.11400,1.02158,5,371.0000,157.0000,589.0000,158.0000,589.0000,374.0000,372.0000,374.0000,217.0000,216.0000,218.0000,217.0000,1.0000,1.0000,1.0000,1.0000
2y_5x_0z_f5_dark.mp4,1.0000,-0.3500,-0.11400,1.06560,5,213.0000,154.0000,431.0000,156.0000,432.0000,373.0000,213.0000,371.0000,217.0000,217.0000,218.0000,219.0000,0.0000,1.0000,0.0000,2.0000
3y_1x_0z_f5_dark.mp4,1.2500,0.3500,-0.11400,1.30307,5,827.0000,200.0000,1006.0000,199.0000,1003.0000,375.0000,825.0000,373.0000,173.0000,176.0000,179.0000,178.0000,3.0000,1.0000,2.0000,1.0000
3y_2x_0z_f5_dark.mp4,1.2500,0.1750,-0.11400,1.26733,5,703.0000,202.0000,878.0000,201.0000,876.0000,374.0000,701.0000,374.0000,172.0000,173.0000,175.0000,175.0000,1.0000,0.0000,2.0000,1.0000
3y_3x_0z_f5_dark.mp4,1.2500,0.0000,-0.11400,1.25519,5,562.0000,202.0000,735.0000,202.0000,734.0000,375.0000,562.0000,374.0000,172.0000,173.0000,173.0000,172.0000,1.0000,1.0000,0.0000,0.0000
3y_4x_0z_f5_dark.mp4,1.2500,-0.1750,-0.11400,1.26733,5,457.0000,202.0000,628.0000,202.0000,628.0000,374.0000,457.0000,374.0000,172.0000,172.0000,171.0000,171.0000,0.0000,0.0000,0.0000,0.0000
3y_5x_0z_f5_dark.mp4,1.2500,-0.3500,-0.11400,1.30307,5,311.0000,197.0000,485.0000,198.0000,485.0000,371.0000,311.0000,370.0000,173.0000,173.0000,174.0000,174.0000,0.0000,0.0000,0.0000,1.0000
4y_1x_0z_f5_dark.mp4,1.5000,0.3500,-0.11400,1.54451,5,809.0000,228.0000,958.0000,227.0000,956.0000,374.0000,807.0000,373.0000,145.0000,147.0000,149.0000,149.0000,2.0000,0.0000,2.0000,1.0000
4y_2x_0z_f5_dark.mp4,1.5000,0.1750,-0.11400,1.51447,5,691.0000,229.0000,836.0000,228.0000,835.0000,373.0000,690.0000,372.0000,143.0000,145.0000,145.0000,145.0000,2.0000,0.0000,1.0000,1.0000
4y_3x_0z_f5_dark.mp4,1.5000,0.0000,-0.11400,1.50433,5,580.0000,230.0000,724.0000,229.0000,723.0000,373.0000,580.0000,372.0000,142.0000,144.0000,144.0000,143.0000,2.0000,1.0000,0.0000,1.0000
4y_4x_0z_f5_dark.mp4,1.5000,-0.1750,-0.11400,1.51447,5,477.0000,230.0000,620.0000,230.0000,620.0000,373.0000,477.0000,372.0000,142.0000,143.0000,143.0000,143.0000,1.0000,0.0000,0.0000,0.0000
4y_5x_0z_f5_dark.mp4,1.5000,-0.3500,-0.11400,1.54451,5,360.0000,226.0000,505.0000,227.0000,505.0000,371.0000,360.0000,370.0000,144.0000,144.0000,145.0000,145.0000,0.0000,0.0000,0.0000,1.0000
5y_1x_0z_f5_dark.mp4,1.7500,0.3500,-0.11400,1.78829,5,788.0000,247.0000,915.0000,246.0000,914.0000,372.0000,786.0000,370.0000,123.0000,126.0000,127.0000,128.0000,3.0000,1.0000,2.0000,1.0000
5y_2x_0z_f5_dark.mp4,1.7500,0.1750,-0.11400,1.76242,5,681.0000,249.0000,804.0000,248.0000,804.0000,372.0000,680.0000,371.0000,122.0000,124.0000,123.0000,124.0000,2.0000,1.0000,1.0000,1.0000
5y_3x_0z_f5_dark.mp4,1.7500,0.0000,-0.11400,1.75371,5,586.0000,249.0000,709.0000,248.0000,708.0000,372.0000,585.0000,371.0000,122.0000,124.0000,123.0000,123.0000,2.0000,0.0000,1.0000,1.0000
5y_4x_0z_f5_dark.mp4,1.7500,-0.1750,-0.11400,1.76242,5,500.0000,249.0000,622.0000,249.0000,622.0000,371.0000,500.0000,371.0000,122.0000,122.0000,122.0000,122.0000,0.0000,0.0000,0.0000,0.0000
