video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1y_1x_0z_f5.mp4,0.7500,0.3500,-0.11400,0.83546,5,949.0000,96.0000,1231.0000,97.0000,1227.0000,378.0000,946.0000,373.0000,277.0000,281.0000,282.0000,281.0000,4.0000,1.0000,3.0000,1.0000
1y_1x_0z_f5_dark.mp4,0.7500,0.3500,-0.11400,0.83546,5,939.0000,88.0000,1238.0000,86.0000,1234.0000,382.0000,937.0000,378.0000,290.0000,296.0000,299.0000,297.0000,6.0000,2.0000,2.0000,2.0000
1y_1x_1z_f5_dark.mp4,0.7500,0.3500,0.12600,0.83718,5,945.0000,393.0000,1242.0000,395.0000,1239.0000,689.0000,945.0000,682.0000,289.0000,294.0000,297.0000,294.0000,5.0000,3.0000,0.0000,2.0000
1y_2x_0z_f5_dark.mp4,0.7500,0.1750,-0.11400,0.77854,5,723.0000,89.0000,1017.0000,86.0000,1014.0000,380.0000,721.0000,376.0000,287.0000,294.0000,294.0000,293.0000,7.0000,1.0000,2.0000,3.0000
1y_3x_0z_f5.mp4,0.7500,0.0000,-0.11400,0.75861,5,518.0000,165.0000,795.0000,96.0000,791.0000,373.0000,519.0000,369.0000,204.0000,277.0000,277.0000,272.0000,73.0000,5.0000,1.0000,69.0000
1y_3x_0z_f5_dark.mp4,0.7500,0.0000,-0.11400,0.75861,5,513.0000,91.0000,802.0000,89.0000,798.0000,379.0000,514.0000,376.0000,285.0000,290.0000,289.0000,284.0000,5.0000,5.0000,1.0000,2.0000
1y_3x_1z_f5_dark.mp4,0.7500,0.0000,0.12600,0.76051,5,478.0000,390.0000,764.0000,391.0000,763.0000,679.0000,477.0000,656.0000,266.0000,288.0000,286.0000,286.0000,22.0000,0.0000,1.0000,1.0000
1y_4x_0z_f5_dark.mp4,0.7500,-0.1750,-0.11400,0.77854,5,364.0000,90.0000,581.0000,89.0000,582.0000,378.0000,312.0000,375.0000,285.0000,289.0000,217.0000,270.0000,4.0000,53.0000,52.0000,1.0000
1y_4x_0z_f5_dark_v1.mp4,0.7500,-0.1750,-0.11400,0.77854,5,362.0000,61.0000,582.0000,62.0000,582.0000,355.0000,293.0000,317.0000,256.0000,293.0000,220.0000,289.0000,37.0000,69.0000,69.0000,1.0000
1y_4x_0z_f5_dark_v2.mp4,0.7500,-0.1750,-0.11400,0.77854,5,362.0000,61.0000,582.0000,62.0000,582.0000,355.0000,293.0000,317.0000,256.0000,293.0000,220.0000,289.0000,37.0000,69.0000,69.0000,1.0000
1y_4x_0z_f5_dark_v3.mp4,0.7500,-0.1750,-0.11400,0.77854,5,362.0000,61.0000,582.0000,62.0000,582.0000,355.0000,293.0000,317.0000,256.0000,293.0000,220.0000,289.0000,37.0000,69.0000,69.0000,1.0000
1y_5x_0z_f5.mp4,0.7500,-0.3500,-0.11400,0.83546,5,172.0000,95.0000,375.0000,96.0000,373.0000,369.0000,136.0000,365.0000,270.0000,273.0000,203.0000,237.0000,3.0000,34.0000,36.0000,1.0000
1y_5x_0z_f5_dark.mp4,0.7500,-0.3500,-0.11400,0.83546,5,146.0000,86.0000,361.0000,86.0000,360.0000,376.0000,108.0000,373.0000,287.0000,290.0000,215.0000,252.0000,3.0000,37.0000,38.0000,0.0000
1y_5x_0z_f5_dark_v1.mp4,0.7500,-0.3500,-0.11400,0.83546,5,133.0000,57.0000,353.0000,58.0000,355.0000,352.0000,63.0000,313.0000,256.0000,294.0000,220.0000,292.0000,38.0000,72.0000,70.0000,1.0000
1y_5x_0z_f5_dark_v2.mp4,0.7500,-0.3500,-0.11400,0.83546,5,133.0000,57.0000,353.0000,58.0000,355.0000,352.0000,63.0000,313.0000,256.0000,294.0000,220.0000,292.0000,38.0000,72.0000,70.0000,1.0000
1y_5x_0z_f5_dark_v3.mp4,0.7500,-0.3500,-0.11400,0.83546,5,133.0000,57.0000,353.0000,58.0000,355.0000,352.0000,63.0000,313.0000,256.0000,294.0000,220.0000,292.0000,38.0000,72.0000,70.0000,1.0000
