video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference
1y_1x_0z_f5.mp4,0.7500,0.3500,-0.11400,0.83546,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_1x_0z_f5_dark.mp4,0.7500,0.3500,-0.11400,0.83546,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_1x_1z_f5_dark.mp4,0.7500,0.3500,0.12600,0.83718,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,714.0000,1.0000,720.0000,719.0000,713.0000,1279.0000,1279.0000,6.0000,0.0000,0.0000,0.0000
1y_2x_0z_f5_dark.mp4,0.7500,0.1750,-0.11400,0.77854,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_3x_0z_f5.mp4,0.7500,0.0000,-0.11400,0.75861,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_3x_0z_f5_dark.mp4,0.7500,0.0000,-0.11400,0.75861,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_3x_1z_f5_dark.mp4,0.7500,0.0000,0.12600,0.76051,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_4x_0z_f5_dark.mp4,0.7500,-0.1750,-0.11400,0.77854,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_4x_0z_f5_dark_v1.mp4,0.7500,-0.1750,-0.11400,0.77854,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
1y_4x_0z_f5_dark_v2.mp4,0.7500,-0.1750,-0.11400,0.77854,5,1.0000,1.0000,1280.0000,1.0000,1280.0000,720.0000,1.0000,720.0000,719.0000,719.0000,1279.0000,1279.0000,0.0000,0.0000,0.0000,0.0000
